AreaName,BirthPlace,Total_Persons,Total_Males,Total_Females,Rural_Persons,Rural_Males,Rural_Females,Urban_Persons,Urban_Males,Urban_Females
PUDUCHERRY,Jharkhand,144,77,67,24,12,12,120,65,55
PUDUCHERRY,Odisha,1976,1116,860,485,302,183,1491,814,677
PUDUCHERRY,Chhattisgarh,38,16,22,2,0,2,36,16,20
PUDUCHERRY,Madhya Pradesh,230,115,115,33,18,15,197,97,100
PUDUCHERRY,Gujarat,1872,949,923,110,51,59,1762,898,864
PUDUCHERRY,Daman & Diu,2,1,1,0,0,0,2,1,1
PUDUCHERRY,Maharashtra,1610,712,898,156,70,86,1454,642,812
PUDUCHERRY,Andhra Pradesh,32287,14571,17716,298,135,163,31989,14436,17553
PUDUCHERRY,Karnataka,2697,1103,1594,306,116,190,2391,987,1404
PUDUCHERRY,Goa,33,15,18,2,2,0,31,13,18
PUDUCHERRY,Lakshadweep,5,2,3,0,0,0,5,2,3
PUDUCHERRY,Kerala,22657,9321,13336,414,188,226,22243,9133,13110
PUDUCHERRY,Tamil Nadu,295284,117000,178284,90023,29871,60152,205261,87129,118132
PUDUCHERRY,Andaman & Nicobar Islands,97,41,56,17,3,14,80,38,42
PUDUCHERRY,Bangladesh,50,24,26,0,0,0,50,24,26
PUDUCHERRY,Bhutan,5,5,0,0,0,0,5,5,0
PUDUCHERRY,China,30,26,4,23,23,0,7,3,4
PUDUCHERRY,Indonesia,26,7,19,6,2,4,20,5,15
PUDUCHERRY,Iran,2,0,2,1,0,1,1,0,1
PUDUCHERRY,Iraq,1,0,1,0,0,0,1,0,1
PUDUCHERRY,Kuwait,37,16,21,2,1,1,35,15,20
PUDUCHERRY,Malaysia,235,85,150,66,15,51,169,70,99
PUDUCHERRY,Mayanmar,186,78,108,31,10,21,155,68,87
PUDUCHERRY,Nepal,424,250,174,114,60,54,310,190,120
PUDUCHERRY,Pakistan,305,150,155,116,50,66,189,100,89
PUDUCHERRY,Saudi Arabia,32,17,15,0,0,0,32,17,15
PUDUCHERRY,Singapore,178,71,107,39,15,24,139,56,83
PUDUCHERRY,Sri Lanka,338,149,189,109,51,58,229,98,131
PUDUCHERRY,United Arab Emirates,99,50,49,13,3,10,86,47,39
PUDUCHERRY,Vietnam,88,26,62,4,1,3,84,25,59
PUDUCHERRY,France,296,133,163,34,16,18,262,117,145
PUDUCHERRY,Germany,15,6,9,1,0,1,14,6,8
PUDUCHERRY,UK,28,8,20,5,1,4,23,7,16
PUDUCHERRY,Kenya,9,5,4,0,0,0,9,5,4
PUDUCHERRY,Mauritius,1,1,0,0,0,0,1,1,0
PUDUCHERRY,Nigeria,1,0,1,0,0,0,1,0,1
PUDUCHERRY,Uganda,1,0,1,0,0,0,1,0,1
PUDUCHERRY,Canada,5,4,1,0,0,0,5,4,1
PUDUCHERRY,U.S.A.,62,29,33,2,1,1,60,28,32
PUDUCHERRY,Australia,11,6,5,0,0,0,11,6,5
ANDAMAN & NICOBAR ISLANDS,Jammu & Kashmir,78,36,42,33,19,14,45,17,28
ANDAMAN & NICOBAR ISLANDS,Himachal Pradesh,85,32,53,18,7,11,67,25,42
ANDAMAN & NICOBAR ISLANDS,Punjab,585,299,286,266,151,115,319,148,171
ANDAMAN & NICOBAR ISLANDS,Chandigarh,52,34,18,20,13,7,32,21,11
ANDAMAN & NICOBAR ISLANDS,Uttarakhand,251,116,135,110,51,59,141,65,76
ANDAMAN & NICOBAR ISLANDS,Haryana,494,191,303,110,42,68,384,149,235
ANDAMAN & NICOBAR ISLANDS,NCT of Delhi,247,104,143,49,24,25,198,80,118
ANDAMAN & NICOBAR ISLANDS,Rajasthan,372,175,197,107,54,53,265,121,144
ANDAMAN & NICOBAR ISLANDS,Uttar Pradesh,4429,2217,2212,1401,757,644,3028,1460,1568
ANDAMAN & NICOBAR ISLANDS,Bihar,2956,1695,1261,1302,786,516,1654,909,745
ANDAMAN & NICOBAR ISLANDS,Sikkim,9,4,5,4,1,3,5,3,2
ANDAMAN & NICOBAR ISLANDS,Arunachal Pradesh,12,5,7,8,4,4,4,1,3
ANDAMAN & NICOBAR ISLANDS,Nagaland,20,11,9,8,4,4,12,7,5
ANDAMAN & NICOBAR ISLANDS,Manipur,39,20,19,14,7,7,25,13,12
ANDAMAN & NICOBAR ISLANDS,Mizoram,10,3,7,8,2,6,2,1,1
ANDAMAN & NICOBAR ISLANDS,Tripura,81,61,20,59,53,6,22,8,14
ANDAMAN & NICOBAR ISLANDS,Meghalaya,14,7,7,5,3,2,9,4,5
ANDAMAN & NICOBAR ISLANDS,Assam,656,377,279,473,291,182,183,86,97
ANDAMAN & NICOBAR ISLANDS,West Bengal,23736,15427,8309,14172,8889,5283,9564,6538,3026
ANDAMAN & NICOBAR ISLANDS,Jharkhand,13066,7662,5404,10148,5994,4154,2918,1668,1250
ANDAMAN & NICOBAR ISLANDS,Odisha,1740,1015,725,1118,677,441,622,338,284
ANDAMAN & NICOBAR ISLANDS,Chhattisgarh,3348,1945,1403,2741,1605,1136,607,340,267
ANDAMAN & NICOBAR ISLANDS,Madhya Pradesh,817,464,353,560,352,208,257,112,145
ANDAMAN & NICOBAR ISLANDS,Gujarat,166,88,78,42,26,16,124,62,62
ANDAMAN & NICOBAR ISLANDS,Daman & Diu,1,0,1,0,0,0,1,0,1
ANDAMAN & NICOBAR ISLANDS,Dadra & Nagar Haveli,1,0,1,0,0,0,1,0,1
ANDAMAN & NICOBAR ISLANDS,Maharashtra,771,389,382,241,122,119,530,267,263
ANDAMAN & NICOBAR ISLANDS,Andhra Pradesh,18665,9483,9182,6369,3183,3186,12296,6300,5996
ANDAMAN & NICOBAR ISLANDS,Karnataka,335,161,174,100,48,52,235,113,122
ANDAMAN & NICOBAR ISLANDS,Goa,60,32,28,11,8,3,49,24,25
ANDAMAN & NICOBAR ISLANDS,Lakshadweep,8,8,0,4,4,0,4,4,0
ANDAMAN & NICOBAR ISLANDS,Kerala,6848,3375,3473,2988,1434,1554,3860,1941,1919
ANDAMAN & NICOBAR ISLANDS,Tamil Nadu,23247,12437,10810,8928,4787,4141,14319,7650,6669
ANDAMAN & NICOBAR ISLANDS,Puducherry,67,42,25,23,14,9,44,28,16
ANDAMAN & NICOBAR ISLANDS,Bangladesh,9651,5103,4548,9439,4976,4463,212,127,85
ANDAMAN & NICOBAR ISLANDS,Bhutan,12,6,6,10,5,5,2,1,1
ANDAMAN & NICOBAR ISLANDS,Iran,1,0,1,0,0,0,1,0,1
ANDAMAN & NICOBAR ISLANDS,Japan,2,1,1,0,0,0,2,1,1
ANDAMAN & NICOBAR ISLANDS,Kuwait,1,1,0,0,0,0,1,1,0
ANDAMAN & NICOBAR ISLANDS,Malaysia,32,10,22,19,8,11,13,2,11
ANDAMAN & NICOBAR ISLANDS,Mayanmar,333,146,187,238,104,134,95,42,53
ANDAMAN & NICOBAR ISLANDS,Nepal,429,241,188,126,76,50,303,165,138
ANDAMAN & NICOBAR ISLANDS,Pakistan,68,37,31,35,17,18,33,20,13
ANDAMAN & NICOBAR ISLANDS,Singapore,15,5,10,9,3,6,6,2,4
ANDAMAN & NICOBAR ISLANDS,Sri Lanka,258,129,129,230,113,117,28,16,12
ANDAMAN & NICOBAR ISLANDS,United Arab Emirates,2,1,1,2,1,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,UK,3,0,3,1,0,1,2,0,2
