AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
HIMACHAL PRADESH,Tamil Nadu,668,404,264,137,88,49,244,152,92,89,54,35,76,35,41,63,37,26,59,38,21
HIMACHAL PRADESH,Puducherry,14,7,7,0,0,0,3,1,2,2,1,1,3,2,1,6,3,3,0,0,0
HIMACHAL PRADESH,Andaman & Nicobar Islands,47,28,19,12,7,5,5,3,2,19,11,8,6,3,3,3,2,1,2,2,0
PUNJAB,Jammu & Kashmir,70299,22628,47671,4089,1949,2140,12868,5554,7314,7704,1968,5736,14243,3007,11236,21033,4641,16392,10362,5509,4853
PUNJAB,Himachal Pradesh,214213,77760,136453,7933,3296,4637,28736,10594,18142,26891,9393,17498,48573,16793,31780,78641,26441,52200,23439,11243,12196
PUNJAB,Chandigarh,149591,74636,74955,11208,5752,5456,33170,16358,16812,29014,14604,14410,28320,13395,14925,20848,9931,10917,27031,14596,12435
PUNJAB,Uttarakhand,55392,27187,28205,3666,2020,1646,10384,4665,5719,8381,3926,4455,12308,5960,6348,13719,6867,6852,6934,3749,3185
PUNJAB,Haryana,545584,154219,391365,19953,8079,11874,74112,23467,50645,73563,21377,52186,118421,29990,88431,201376,45295,156081,58159,26011,32148
PUNJAB,NCT of Delhi,45310,17865,27445,2902,1464,1438,7900,3305,4595,6780,2600,4180,9296,3262,6034,13321,4732,8589,5111,2502,2609
PUNJAB,Rajasthan,202166,67249,134917,13061,6129,6932,30316,11067,19249,27086,8563,18523,43313,12933,30380,69046,18722,50324,19344,9835,9509
PUNJAB,Uttar Pradesh,649557,357976,291581,69030,40336,28694,124605,66151,58454,107998,58989,49009,145965,80882,65083,129006,72393,56613,72953,39225,33728
PUNJAB,Bihar,352537,216001,136536,36835,25504,11331,74084,43877,30207,67456,40228,27228,87080,53681,33399,48358,30411,17947,38724,22300,16424
PUNJAB,Sikkim,330,175,155,43,22,21,124,62,62,27,13,14,47,27,20,39,22,17,50,29,21
PUNJAB,Arunachal Pradesh,405,203,202,51,30,21,153,64,89,40,20,20,54,27,27,46,26,20,61,36,25
PUNJAB,Nagaland,569,322,247,142,111,31,184,82,102,41,15,26,64,31,33,63,33,30,75,50,25
PUNJAB,Manipur,774,418,356,279,177,102,238,93,145,36,16,20,66,23,43,33,14,19,122,95,27
PUNJAB,Mizoram,311,199,112,190,127,63,49,27,22,9,4,5,15,9,6,18,9,9,30,23,7
PUNJAB,Tripura,385,202,183,76,44,32,160,82,78,23,12,11,31,14,17,24,2,22,71,48,23
PUNJAB,Meghalaya,507,237,270,59,36,23,181,71,110,74,29,45,69,32,37,45,23,22,79,46,33
PUNJAB,Assam,11925,5314,6611,1456,818,638,3213,1365,1848,1445,583,862,1983,780,1203,2212,826,1386,1616,942,674
PUNJAB,West Bengal,46958,21592,25366,4240,2579,1661,9292,4408,4884,6412,2966,3446,9724,4059,5665,11486,4252,7234,5804,3328,2476
PUNJAB,Jharkhand,19950,11532,8418,3222,2250,972,4409,2416,1993,3137,1715,1422,4318,2373,1945,2714,1450,1264,2150,1328,822
PUNJAB,Odisha,11717,6016,5701,1100,626,474,2787,1440,1347,1617,835,782,2274,1119,1155,2272,1000,1272,1667,996,671
PUNJAB,Chhattisgarh,8403,4288,4115,2495,1373,1122,1957,953,1004,955,444,511,976,474,502,735,337,398,1285,707,578
PUNJAB,Madhya Pradesh,32869,15844,17025,3645,1969,1676,7478,3550,3928,4483,2076,2407,6164,2801,3363,6695,2950,3745,4404,2498,1906
PUNJAB,Gujarat,10436,5051,5385,1072,552,520,3243,1457,1786,1405,707,698,1456,609,847,1821,840,981,1439,886,553
PUNJAB,Daman & Diu,6,5,1,0,0,0,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0
PUNJAB,Dadra & Nagar Haveli,17,6,11,1,0,1,2,1,1,3,1,2,7,3,4,3,0,3,1,1,0
PUNJAB,Maharashtra,32781,14996,17785,3313,1464,1849,7470,3353,4117,3664,1504,2160,5495,2266,3229,6900,2869,4031,5939,3540,2399
PUNJAB,Andhra Pradesh,7789,3815,3974,1281,571,710,2899,1313,1586,568,244,324,656,286,370,800,368,432,1585,1033,552
PUNJAB,Karnataka,4470,2179,2291,695,266,429,1650,778,872,328,134,194,471,214,257,455,209,246,871,578,293
PUNJAB,Goa,435,243,192,63,33,30,141,86,55,48,18,30,66,36,30,65,36,29,52,34,18
PUNJAB,Lakshadweep,600,349,251,14,10,4,49,26,23,60,30,30,57,24,33,88,37,51,332,222,110
PUNJAB,Kerala,5910,2988,2922,598,265,333,1920,902,1018,602,297,305,766,330,436,886,450,436,1138,744,394
PUNJAB,Tamil Nadu,5540,2916,2624,712,308,404,1820,945,875,451,206,245,517,235,282,749,353,396,1291,869,422
PUNJAB,Puducherry,310,123,187,11,4,7,34,10,24,27,11,16,68,23,45,78,20,58,92,55,37
PUNJAB,Andaman & Nicobar Islands,253,128,125,27,15,12,84,38,46,21,10,11,31,15,16,44,25,19,46,25,21
CHANDIGARH,Jammu & Kashmir,5997,3073,2924,560,299,261,1580,783,797,940,466,474,1194,621,573,1490,777,713,233,127,106
CHANDIGARH,Himachal Pradesh,60254,33481,26773,3199,1840,1359,12120,6549,5571,9167,4986,4181,13865,7416,6449,19743,11512,8231,2160,1178,982
CHANDIGARH,Punjab,148481,68311,80170,5995,2879,3116,23658,10315,13343,18973,8056,10917,32548,13842,18706,61306,30410,30896,6001,2809,3192
CHANDIGARH,Uttarakhand,31164,17198,13966,1399,737,662,5613,3027,2586,5718,3121,2597,8599,4699,3900,8829,5065,3764,1006,549,457
CHANDIGARH,Haryana,93037,45032,48005,3771,1871,1900,14881,6861,8020,13945,6358,7587,22605,10363,12242,33809,17583,16226,4026,1996,2030
CHANDIGARH,NCT of Delhi,20889,9800,11089,1216,662,554,4365,2131,2234,3366,1537,1829,4749,2203,2546,6432,2901,3531,761,366,395
CHANDIGARH,Rajasthan,9446,4953,4493,652,400,252,2470,1292,1178,1429,717,712,1811,912,899,2669,1416,1253,415,216,199
CHANDIGARH,Uttar Pradesh,179574,104133,75441,8545,4985,3560,30386,16469,13917,33096,18612,14484,53328,30667,22661,47106,29536,17570,7113,3864,3249
CHANDIGARH,Bihar,50703,33568,17135,3235,2199,1036,10745,6821,3924,11545,7581,3964,15941,10643,5298,7348,5214,2134,1889,1110,779
CHANDIGARH,Sikkim,70,43,27,9,8,1,28,17,11,10,4,6,14,7,7,6,4,2,3,3,0
CHANDIGARH,Arunachal Pradesh,99,56,43,4,3,1,34,19,15,14,8,6,27,14,13,13,7,6,7,5,2
CHANDIGARH,Nagaland,84,45,39,3,3,0,19,9,10,10,5,5,30,13,17,17,11,6,5,4,1
CHANDIGARH,Manipur,623,369,254,86,45,41,268,164,104,97,54,43,96,60,36,54,33,21,22,13,9
CHANDIGARH,Mizoram,47,28,19,7,5,2,25,17,8,9,3,6,4,2,2,2,1,1,0,0,0
CHANDIGARH,Tripura,73,37,36,8,4,4,28,12,16,6,2,4,13,8,5,16,10,6,2,1,1
CHANDIGARH,Meghalaya,183,88,95,15,8,7,58,18,40,31,16,15,43,26,17,26,14,12,10,6,4
CHANDIGARH,Assam,2166,971,1195,192,89,103,846,337,509,355,143,212,343,177,166,342,181,161,88,44,44
CHANDIGARH,West Bengal,6951,3734,3217,419,232,187,1772,910,862,1318,723,595,1797,959,838,1405,773,632,240,137,103
CHANDIGARH,Jharkhand,3023,1684,1339,321,188,133,801,401,400,599,345,254,798,460,338,392,229,163,112,61,51
CHANDIGARH,Odisha,1600,883,717,130,69,61,435,228,207,290,155,135,379,226,153,293,164,129,73,41,32
CHANDIGARH,Chhattisgarh,1123,581,542,251,129,122,373,191,182,145,73,72,146,67,79,128,75,53,80,46,34
CHANDIGARH,Madhya Pradesh,3730,1896,1834,428,238,190,1104,580,524,528,266,262,743,349,394,744,374,370,183,89,94
CHANDIGARH,Gujarat,2082,1002,1080,181,89,92,588,256,332,322,146,176,422,212,210,452,237,215,117,62,55
CHANDIGARH,Daman & Diu,10,7,3,2,2,0,4,3,1,4,2,2,0,0,0,0,0,0,0,0,0
CHANDIGARH,Dadra & Nagar Haveli,7,2,5,0,0,0,4,1,3,3,1,2,0,0,0,0,0,0,0,0,0
CHANDIGARH,Maharashtra,4999,2375,2624,475,238,237,1524,688,836,754,346,408,978,472,506,1059,521,538,209,110,99
CHANDIGARH,Andhra Pradesh,1528,765,763,169,91,78,608,278,330,196,94,102,223,122,101,233,136,97,99,44,55
CHANDIGARH,Karnataka,1514,757,757,163,85,78,649,307,342,245,116,129,208,115,93,187,101,86,62,33,29
CHANDIGARH,Goa,94,48,46,12,5,7,31,16,15,13,6,7,13,5,8,19,12,7,6,4,2
CHANDIGARH,Lakshadweep,19,10,9,0,0,0,3,1,2,2,1,1,3,0,3,3,2,1,8,6,2
CHANDIGARH,Kerala,1016,494,522,80,39,41,221,100,121,96,42,54,213,97,116,333,181,152,73,35,38
CHANDIGARH,Tamil Nadu,3223,1561,1662,195,91,104,640,285,355,297,141,156,642,293,349,1324,684,640,125,67,58
CHANDIGARH,Puducherry,32,20,12,6,4,2,14,7,7,3,2,1,3,2,1,4,3,1,2,2,0
CHANDIGARH,Andaman & Nicobar Islands,125,56,69,23,15,8,38,12,26,26,9,17,26,14,12,7,4,3,5,2,3
UTTARAKHAND,Jammu & Kashmir,9268,5431,3837,825,593,232,2062,1201,861,1136,620,516,1274,684,590,1587,838,749,2384,1495,889
UTTARAKHAND,Himachal Pradesh,24089,8888,15201,1497,816,681,3895,1524,2371,2984,969,2015,4286,1132,3154,9248,3322,5926,2179,1125,1054
UTTARAKHAND,Punjab,45667,20640,25027,2448,1338,1110,6485,2829,3656,4832,1959,2873,7014,2743,4271,21437,9967,11470,3451,1804,1647
UTTARAKHAND,Chandigarh,2850,1303,1547,392,213,179,721,329,392,470,211,259,545,232,313,441,173,268,281,145,136
UTTARAKHAND,Haryana,33899,13768,20131,2566,1404,1162,7727,3564,4163,4828,1890,2938,5525,1790,3735,10660,3851,6809,2593,1269,1324
UTTARAKHAND,NCT of Delhi,52002,23250,28752,5363,2964,2399,14174,6748,7426,9443,4192,5251,9871,4012,5859,8955,3262,5693,4196,2072,2124
UTTARAKHAND,Rajasthan,18410,9414,8996,1654,1055,599,4836,2588,2248,2680,1286,1394,3038,1433,1605,4602,2189,2413,1600,863,737
UTTARAKHAND,Uttar Pradesh,890663,369386,521277,64165,35001,29164,169054,74754,94300,141214,58851,82363,197735,76384,121351,255667,95325,160342,62828,29071,33757
UTTARAKHAND,Bihar,76116,47017,29099,10063,7084,2979,19698,12724,6974,13451,8313,5138,14707,8616,6091,12747,7169,5578,5450,3111,2339
UTTARAKHAND,Sikkim,612,330,282,82,56,26,192,97,95,98,44,54,77,41,36,96,51,45,67,41,26
UTTARAKHAND,Arunachal Pradesh,1232,713,519,121,67,54,498,286,212,277,176,101,197,97,100,79,47,32,60,40,20
UTTARAKHAND,Nagaland,729,384,345,57,33,24,214,102,112,103,53,50,169,86,83,114,72,42,72,38,34
UTTARAKHAND,Manipur,926,448,478,98,55,43,354,156,198,191,92,99,121,63,58,75,34,41,87,48,39
UTTARAKHAND,Mizoram,286,149,137,32,16,16,80,44,36,59,32,27,51,19,32,33,22,11,31,16,15
UTTARAKHAND,Tripura,501,259,242,89,46,43,116,57,59,98,53,45,94,45,49,76,43,33,28,15,13
UTTARAKHAND,Meghalaya,880,455,425,64,33,31,154,81,73,170,81,89,191,100,91,206,99,107,95,61,34
