AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
NAGALAND,Jammu & Kashmir,375,164,211,79,24,55,140,49,91,10,7,3,15,7,8,20,14,6,111,63,48
NAGALAND,Himachal Pradesh,309,110,199,95,31,64,142,43,99,10,6,4,13,5,8,19,9,10,30,16,14
NAGALAND,Punjab,470,224,246,96,35,61,217,73,144,12,9,3,13,8,5,33,21,12,99,78,21
NAGALAND,Chandigarh,42,23,19,4,3,1,27,12,15,0,0,0,4,3,1,6,5,1,1,0,1
NAGALAND,Uttarakhand,751,295,456,206,73,133,396,143,253,45,21,24,16,8,8,22,18,4,66,32,34
NAGALAND,Haryana,442,208,234,86,33,53,196,83,113,44,23,21,29,13,16,52,37,15,35,19,16
NAGALAND,NCT of Delhi,10,9,1,3,3,0,3,2,1,2,2,0,1,1,0,1,1,0,0,0,0
NAGALAND,Rajasthan,2480,1578,902,153,86,67,447,253,194,373,226,147,511,321,190,860,610,250,136,82,54
NAGALAND,Uttar Pradesh,4076,2322,1754,481,215,266,1018,470,548,526,323,203,800,476,324,1041,718,323,210,120,90
NAGALAND,Bihar,17539,11954,5585,1219,806,413,3603,2290,1313,3302,2173,1129,4750,3257,1493,4050,3047,1003,615,381,234
NAGALAND,Sikkim,145,63,82,10,4,6,46,10,36,32,17,15,19,11,8,27,17,10,11,4,7
NAGALAND,Arunachal Pradesh,900,481,419,138,70,68,386,214,172,135,74,61,124,68,56,68,26,42,49,29,20
NAGALAND,Manipur,14093,6691,7402,1310,598,712,3531,1650,1881,2321,1067,1254,2705,1282,1423,3514,1743,1771,712,351,361
NAGALAND,Mizoram,386,162,224,76,30,46,144,66,78,63,24,39,35,13,22,50,19,31,18,10,8
NAGALAND,Tripura,2923,1761,1162,164,84,80,404,201,203,429,240,189,741,465,276,1072,719,353,113,52,61
NAGALAND,Meghalaya,1792,947,845,178,91,87,522,269,253,264,131,133,241,130,111,421,228,193,166,98,68
NAGALAND,Assam,51397,29151,22246,4827,3174,1653,10964,6244,4720,9337,5107,4230,12002,6654,5348,12290,6982,5308,1977,990,987
NAGALAND,West Bengal,3746,2098,1648,345,181,164,734,380,354,480,273,207,733,380,353,1316,809,507,138,75,63
NAGALAND,Jharkhand,1283,841,442,126,88,38,329,218,111,224,153,71,268,156,112,267,191,76,69,35,34
NAGALAND,Odisha,1236,691,545,115,41,74,222,103,119,180,101,79,291,160,131,374,252,122,54,34,20
NAGALAND,Chhattisgarh,138,62,76,32,6,26,24,8,16,11,6,5,11,9,2,51,30,21,9,3,6
NAGALAND,Madhya Pradesh,294,141,153,80,33,47,126,57,69,12,5,7,18,9,9,31,21,10,27,16,11
NAGALAND,Gujarat,103,49,54,31,15,16,45,16,29,8,5,3,7,4,3,6,5,1,6,4,2
NAGALAND,Dadra & Nagar Haveli,11,2,9,1,0,1,1,0,1,4,0,4,0,0,0,2,0,2,3,2,1
NAGALAND,Maharashtra,498,235,263,123,47,76,232,95,137,46,28,18,45,28,17,27,21,6,25,16,9
NAGALAND,Andhra Pradesh,407,196,211,100,33,67,124,55,69,47,33,14,57,33,24,62,29,33,17,13,4
NAGALAND,Karnataka,540,299,241,147,76,71,209,111,98,63,39,24,41,27,14,32,21,11,48,25,23
NAGALAND,Goa,21,14,7,3,2,1,15,10,5,1,0,1,0,0,0,0,0,0,2,2,0
NAGALAND,Lakshadweep,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
NAGALAND,Kerala,1165,665,500,121,43,78,325,156,169,148,78,70,226,130,96,303,235,68,42,23,19
NAGALAND,Tamil Nadu,412,223,189,73,35,38,112,58,54,54,28,26,77,48,29,68,42,26,28,12,16
NAGALAND,Puducherry,15,10,5,4,2,2,5,4,1,2,1,1,4,3,1,0,0,0,0,0,0
NAGALAND,Andaman & Nicobar Islands,15,4,11,6,2,4,5,1,4,0,0,0,1,0,1,0,0,0,3,1,2
MANIPUR,Jammu & Kashmir,218,126,92,8,7,1,24,14,10,15,10,5,13,9,4,13,5,8,145,81,64
MANIPUR,Himachal Pradesh,136,61,75,10,3,7,18,8,10,10,2,8,10,5,5,18,6,12,70,37,33
MANIPUR,Punjab,102,47,55,12,5,7,11,5,6,12,7,5,16,4,12,41,18,23,10,8,2
MANIPUR,Chandigarh,11,5,6,5,2,3,3,2,1,1,1,0,1,0,1,0,0,0,1,0,1
MANIPUR,Uttarakhand,81,49,32,7,2,5,25,15,10,4,1,3,7,4,3,6,3,3,32,24,8
MANIPUR,Haryana,110,68,42,14,10,4,15,5,10,11,2,9,21,12,9,29,21,8,20,18,2
MANIPUR,NCT of Delhi,652,354,298,176,89,87,168,92,76,100,52,48,49,24,25,88,57,31,71,40,31
MANIPUR,Rajasthan,706,388,318,16,10,6,71,32,39,80,46,34,136,64,72,347,215,132,56,21,35
MANIPUR,Uttar Pradesh,853,535,318,33,20,13,126,66,60,127,78,49,216,126,90,255,170,85,96,75,21
MANIPUR,Bihar,2983,1864,1119,77,46,31,461,257,204,453,281,172,770,474,296,855,585,270,367,221,146
MANIPUR,Sikkim,288,154,134,8,5,3,8,2,6,15,6,9,26,13,13,221,122,99,10,6,4
MANIPUR,Arunachal Pradesh,114,46,68,14,8,6,33,11,22,27,10,17,25,9,16,5,2,3,10,6,4
MANIPUR,Nagaland,1589,621,968,138,64,74,290,108,182,310,132,178,429,164,265,268,78,190,154,75,79
MANIPUR,Mizoram,1041,440,601,70,33,37,188,67,121,125,51,74,138,55,83,407,196,211,113,38,75
MANIPUR,Tripura,766,327,439,15,6,9,54,24,30,58,29,29,129,50,79,445,194,251,65,24,41
MANIPUR,Meghalaya,770,371,399,172,90,82,172,84,88,113,59,54,111,53,58,129,52,77,73,33,40
MANIPUR,Assam,7720,2746,4974,329,146,183,1142,372,770,1127,408,719,1573,485,1088,2932,1077,1855,617,258,359
MANIPUR,West Bengal,638,339,299,41,25,16,79,28,51,60,36,24,100,38,62,247,136,111,111,76,35
MANIPUR,Jharkhand,93,47,46,12,9,3,20,10,10,12,4,8,15,9,6,18,10,8,16,5,11
MANIPUR,Odisha,87,60,27,8,5,3,8,5,3,9,6,3,17,9,8,19,13,6,26,22,4
MANIPUR,Chhattisgarh,10,5,5,1,1,0,0,0,0,0,0,0,3,1,2,5,2,3,1,1,0
MANIPUR,Madhya Pradesh,139,67,72,4,0,4,20,10,10,12,6,6,39,17,22,29,14,15,35,20,15
MANIPUR,Gujarat,40,25,15,7,7,0,8,6,2,4,1,3,1,0,1,7,3,4,13,8,5
MANIPUR,Dadra & Nagar Haveli,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MANIPUR,Maharashtra,286,130,156,47,24,23,76,37,39,37,14,23,32,8,24,36,13,23,58,34,24
MANIPUR,Andhra Pradesh,71,39,32,19,11,8,12,6,6,9,6,3,6,2,4,11,6,5,14,8,6
MANIPUR,Karnataka,182,95,87,62,34,28,54,27,27,15,9,6,11,5,6,15,8,7,25,12,13
MANIPUR,Goa,14,7,7,5,1,4,5,4,1,3,1,2,1,1,0,0,0,0,0,0,0
MANIPUR,Lakshadweep,45,27,18,1,0,1,1,0,1,3,2,1,1,0,1,8,2,6,31,23,8
MANIPUR,Kerala,118,66,52,13,9,4,12,5,7,10,6,4,39,18,21,34,22,12,10,6,4
MANIPUR,Tamil Nadu,203,107,96,39,22,17,44,23,21,19,6,13,25,10,15,63,35,28,13,11,2
MANIPUR,Andaman & Nicobar Islands,33,15,18,0,0,0,8,4,4,8,3,5,4,1,3,6,2,4,7,5,2
MIZORAM,Jammu & Kashmir,113,53,60,3,2,1,13,2,11,11,4,7,4,1,3,8,6,2,74,38,36
MIZORAM,Himachal Pradesh,34,13,21,5,1,4,11,3,8,1,1,0,4,3,1,5,2,3,8,3,5
MIZORAM,Punjab,106,51,55,10,4,6,28,12,16,10,4,6,9,5,4,26,16,10,23,10,13
MIZORAM,Chandigarh,8,6,2,3,2,1,1,1,0,0,0,0,1,1,0,3,2,1,0,0,0
MIZORAM,Uttarakhand,142,63,79,13,6,7,78,30,48,5,2,3,6,2,4,18,11,7,22,12,10
MIZORAM,Haryana,83,43,40,11,6,5,49,22,27,1,0,1,5,3,2,2,2,0,15,10,5
MIZORAM,NCT of Delhi,188,105,83,33,20,13,59,32,27,34,23,11,15,8,7,22,13,9,25,9,16
MIZORAM,Rajasthan,104,75,29,9,7,2,59,39,20,4,2,2,13,11,2,10,9,1,9,7,2
MIZORAM,Uttar Pradesh,477,255,222,46,21,25,199,105,94,56,33,23,44,24,20,88,50,38,44,22,22
MIZORAM,Bihar,1404,1041,363,56,39,17,308,212,96,257,200,57,375,286,89,341,265,76,67,39,28
MIZORAM,Sikkim,43,21,22,7,1,6,10,2,8,2,2,0,5,3,2,16,12,4,3,1,2
MIZORAM,Arunachal Pradesh,195,91,104,28,11,17,55,29,26,8,4,4,45,22,23,46,22,24,13,3,10
MIZORAM,Nagaland,541,245,296,30,15,15,146,62,84,75,40,35,124,58,66,117,51,66,49,19,30
MIZORAM,Manipur,12241,6333,5908,402,202,200,2059,1014,1045,2661,1387,1274,4818,2494,2324,1754,942,812,547,294,253
MIZORAM,Tripura,5606,2909,2697,1735,909,826,1577,778,799,611,336,275,687,374,313,833,424,409,163,88,75
MIZORAM,Meghalaya,2378,1166,1212,81,35,46,360,171,189,340,171,169,479,212,267,1015,515,500,103,62,41
MIZORAM,Assam,15056,9804,5252,993,674,319,3691,2539,1152,3409,2190,1219,3656,2368,1288,2557,1631,926,750,402,348
MIZORAM,West Bengal,646,407,239,56,33,23,148,92,56,94,53,41,134,89,45,186,125,61,28,15,13
MIZORAM,Jharkhand,1149,995,154,108,100,8,251,214,37,166,149,17,294,250,44,287,247,40,43,35,8
MIZORAM,Odisha,65,34,31,6,3,3,29,12,17,5,3,2,10,6,4,9,6,3,6,4,2
MIZORAM,Chhattisgarh,16,7,9,2,1,1,9,4,5,1,1,0,0,0,0,2,1,1,2,0,2
MIZORAM,Madhya Pradesh,73,45,28,14,7,7,26,15,11,9,7,2,3,3,0,13,8,5,8,5,3
MIZORAM,Gujarat,13,9,4,0,0,0,6,4,2,0,0,0,2,1,1,2,2,0,3,2,1
MIZORAM,Maharashtra,125,59,66,17,11,6,57,21,36,7,3,4,25,14,11,10,5,5,9,5,4
MIZORAM,Andhra Pradesh,92,42,50,18,6,12,35,15,20,13,7,6,4,3,1,9,3,6,13,8,5
MIZORAM,Karnataka,90,47,43,19,10,9,29,18,11,12,4,8,14,8,6,10,4,6,6,3,3
MIZORAM,Goa,7,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,2,4
MIZORAM,Lakshadweep,4,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,2,0
MIZORAM,Kerala,269,148,121,16,5,11,66,28,38,24,14,10,67,38,29,80,55,25,16,8,8
MIZORAM,Tamil Nadu,107,61,46,11,4,7,43,23,20,13,9,4,15,8,7,20,15,5,5,2,3
MIZORAM,Puducherry,3,2,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
MIZORAM,Andaman & Nicobar Islands,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,Jammu & Kashmir,328,193,135,41,21,20,50,28,22,21,9,12,28,16,12,35,21,14,153,98,55
TRIPURA,Himachal Pradesh,88,52,36,7,4,3,27,14,13,3,2,1,11,6,5,9,5,4,31,21,10
TRIPURA,Punjab,108,52,56,14,5,9,25,8,17,25,13,12,20,11,9,17,10,7,7,5,2
TRIPURA,Chandigarh,14,10,4,0,0,0,6,4,2,1,0,1,4,3,1,2,2,0,1,1,0
TRIPURA,Uttarakhand,141,69,72,24,13,11,51,23,28,28,12,16,14,6,8,12,7,5,12,8,4
TRIPURA,Haryana,116,71,45,28,16,12,40,24,16,11,7,4,9,6,3,15,10,5,13,8,5
TRIPURA,NCT of Delhi,250,129,121,69,34,35,71,43,28,37,21,16,30,14,16,31,13,18,12,4,8
TRIPURA,Rajasthan,495,266,229,21,12,9,79,43,36,68,34,34,104,46,58,171,101,70,52,30,22
TRIPURA,Uttar Pradesh,1518,1007,511,626,503,123,271,166,105,93,40,53,138,63,75,269,147,122,121,88,33
TRIPURA,Bihar,12063,7165,4898,8104,4553,3551,749,457,292,513,350,163,733,513,220,1141,777,364,823,515,308
TRIPURA,Sikkim,18,5,13,1,0,1,6,1,5,2,1,1,3,0,3,3,2,1,3,1,2
TRIPURA,Arunachal Pradesh,337,147,190,22,11,11,75,29,46,91,45,46,71,31,40,62,26,36,16,5,11
TRIPURA,Nagaland,751,324,427,53,26,27,163,66,97,142,48,94,186,78,108,160,82,78,47,24,23
TRIPURA,Manipur,613,255,358,60,28,32,176,80,96,107,42,65,103,39,64,118,49,69,49,17,32
TRIPURA,Mizoram,18411,9244,9167,192,102,90,1244,614,630,408,195,213,15643,7856,7787,313,154,159,611,323,288
TRIPURA,Meghalaya,1309,519,790,99,59,40,193,51,142,178,59,119,286,105,181,463,210,253,90,35,55
TRIPURA,Assam,29423,9704,19719,2410,1231,1179,4703,1540,3163,3961,1212,2749,6499,1859,4640,10609,3242,7367,1241,620,621
TRIPURA,West Bengal,5349,2527,2822,473,295,178,909,442,467,635,314,321,898,365,533,2101,924,1177,333,187,146
TRIPURA,Jharkhand,14203,8044,6159,12245,6945,5300,619,342,277,96,35,61,76,37,39,196,107,89,971,578,393
TRIPURA,Odisha,303,162,141,43,23,20,82,39,43,29,16,13,31,18,13,94,55,39,24,11,13
TRIPURA,Chhattisgarh,52,23,29,15,11,4,20,7,13,7,3,4,3,2,1,6,0,6,1,0,1
TRIPURA,Madhya Pradesh,161,79,82,35,18,17,50,26,24,14,5,9,15,5,10,33,17,16,14,8,6
TRIPURA,Gujarat,150,103,47,50,31,19,57,40,17,13,10,3,6,4,2,13,10,3,11,8,3
TRIPURA,Dadra & Nagar Haveli,10,3,7,1,0,1,1,0,1,2,1,1,3,2,1,2,0,2,1,0,1
TRIPURA,Maharashtra,260,147,113,43,23,20,113,63,50,25,12,13,22,15,7,31,16,15,26,18,8
TRIPURA,Andhra Pradesh,167,83,84,27,14,13,84,35,49,19,11,8,10,4,6,16,11,5,11,8,3
TRIPURA,Karnataka,131,64,67,35,19,16,49,25,24,21,8,13,7,2,5,13,7,6,6,3,3
TRIPURA,Goa,7,4,3,1,1,0,4,2,2,0,0,0,1,0,1,1,1,0,0,0,0
TRIPURA,Lakshadweep,16,10,6,6,3,3,3,2,1,0,0,0,1,1,0,1,0,1,5,4,1
TRIPURA,Kerala,156,79,77,20,13,7,55,20,35,26,16,10,23,9,14,20,15,5,12,6,6
TRIPURA,Tamil Nadu,407,166,241,44,29,15,110,40,70,47,12,35,68,25,43,87,31,56,51,29,22
TRIPURA,Puducherry,16,10,6,6,4,2,8,4,4,1,1,0,0,0,0,1,1,0,0,0,0
TRIPURA,Andaman & Nicobar Islands,7,4,3,0,0,0,0,0,0,0,0,0,6,3,3,1,1,0,0,0,0
MEGHALAYA,Jammu & Kashmir,601,272,329,117,48,69,214,85,129,36,12,24,19,8,11,44,23,21,171,96,75
MEGHALAYA,Himachal Pradesh,294,159,135,31,16,15,111,52,59,26,12,14,26,14,12,31,17,14,69,48,21
MEGHALAYA,Punjab,986,445,541,103,48,55,268,107,161,63,20,43,113,46,67,357,183,174,82,41,41
MEGHALAYA,Chandigarh,49,24,25,11,5,6,27,14,13,2,0,2,1,1,0,5,3,2,3,1,2
MEGHALAYA,Uttarakhand,1191,528,663,240,69,171,421,161,260,78,34,44,102,43,59,93,56,37,257,165,92
MEGHALAYA,Haryana,494,209,285,78,26,52,204,75,129,26,11,15,31,13,18,70,35,35,85,49,36
MEGHALAYA,NCT of Delhi,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
MEGHALAYA,Rajasthan,1901,1107,794,118,55,63,429,212,217,190,122,68,320,192,128,684,443,241,160,83,77
MEGHALAYA,Uttar Pradesh,3098,1507,1591,327,129,198,1085,458,627,318,163,155,412,207,205,629,364,265,327,186,141
MEGHALAYA,Bihar,14112,8544,5568,515,283,232,2231,1163,1068,2042,1199,843,3425,1999,1426,4891,3288,1603,1008,612,396
MEGHALAYA,Sikkim,145,81,64,14,7,7,34,20,14,21,10,11,20,13,7,33,19,14,23,12,11
MEGHALAYA,Arunachal Pradesh,1024,613,411,241,205,36,368,189,179,143,91,52,121,51,70,85,41,44,66,36,30
MEGHALAYA,Nagaland,1752,896,856,144,86,58,641,328,313,326,173,153,317,145,172,181,89,92,143,75,68
MEGHALAYA,Manipur,6336,3103,3233,583,271,312,2358,1169,1189,1061,513,548,1210,548,662,562,291,271,562,311,251
MEGHALAYA,Mizoram,2127,950,1177,184,90,94,689,311,378,319,136,183,294,114,180,445,188,257,196,111,85
MEGHALAYA,Tripura,2868,1650,1218,142,78,64,498,242,256,382,213,169,712,408,304,921,575,346,213,134,79
MEGHALAYA,Assam,61022,27748,33274,2497,1166,1331,10781,4510,6271,10164,4474,5690,14901,6798,8103,18862,8966,9896,3817,1834,1983
MEGHALAYA,West Bengal,5492,2581,2911,295,135,160,1012,451,561,615,264,351,1119,485,634,2036,1041,995,415,205,210
MEGHALAYA,Jharkhand,544,285,259,63,30,33,179,86,93,85,40,45,71,30,41,118,84,34,28,15,13
MEGHALAYA,Odisha,525,272,253,71,33,38,196,90,106,72,36,36,57,35,22,74,49,25,55,29,26
MEGHALAYA,Chhattisgarh,62,29,33,18,9,9,22,10,12,8,5,3,2,0,2,9,2,7,3,3,0
MEGHALAYA,Madhya Pradesh,405,181,224,87,36,51,206,93,113,41,21,20,23,11,12,25,9,16,23,11,12
MEGHALAYA,Gujarat,216,100,116,38,18,20,108,46,62,18,8,10,18,10,8,9,4,5,25,14,11
MEGHALAYA,Dadra & Nagar Haveli,16,9,7,0,0,0,2,0,2,1,1,0,1,1,0,0,0,0,12,7,5
MEGHALAYA,Maharashtra,635,258,377,125,43,82,338,138,200,39,16,23,41,14,27,53,28,25,39,19,20
MEGHALAYA,Andhra Pradesh,384,169,215,77,37,40,202,81,121,38,16,22,22,10,12,18,14,4,27,11,16
MEGHALAYA,Karnataka,450,202,248,87,37,50,252,111,141,36,13,23,26,9,17,17,11,6,32,21,11
MEGHALAYA,Goa,19,10,9,2,2,0,13,6,7,0,0,0,1,1,0,3,1,2,0,0,0
MEGHALAYA,Lakshadweep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
MEGHALAYA,Kerala,810,396,414,100,39,61,324,144,180,89,40,49,71,40,31,117,74,43,109,59,50
MEGHALAYA,Tamil Nadu,343,160,183,78,35,43,160,70,90,15,6,9,33,13,20,27,18,9,30,18,12
MEGHALAYA,Puducherry,8,5,3,0,0,0,6,4,2,0,0,0,1,1,0,1,0,1,0,0,0
MEGHALAYA,Andaman & Nicobar Islands,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Jammu & Kashmir,3831,2235,1596,171,97,74,260,125,135,126,65,61,187,89,98,190,88,102,2897,1771,1126
ASSAM,Himachal Pradesh,1827,1101,726,67,40,27,174,91,83,80,35,45,83,37,46,111,57,54,1312,841,471
ASSAM,Punjab,3617,1814,1803,163,73,90,540,243,297,372,176,196,562,242,320,1561,823,738,419,257,162
ASSAM,Chandigarh,258,115,143,21,9,12,98,36,62,33,15,18,37,20,17,45,23,22,24,12,12
ASSAM,Uttarakhand,1194,732,462,137,72,65,385,205,180,100,52,48,100,61,39,153,88,65,319,254,65
ASSAM,Haryana,3225,1717,1508,167,90,77,640,307,333,297,134,163,510,237,273,1221,708,513,390,241,149
ASSAM,NCT of Delhi,3040,1421,1619,314,157,157,937,420,517,481,234,247,483,208,275,441,207,234,384,195,189
ASSAM,Rajasthan,27778,15279,12499,805,423,382,3262,1559,1703,3375,1717,1658,5446,2769,2677,12594,7547,5047,2296,1264,1032
ASSAM,Uttar Pradesh,35441,18488,16953,1199,639,560,3924,1792,2132,3247,1452,1795,5945,2652,3293,18321,10320,8001,2805,1633,1172
ASSAM,Bihar,147742,89301,58441,5001,3299,1702,16499,8795,7704,18327,10141,8186,35417,20561,14856,61350,39733,21617,11148,6772,4376
ASSAM,Sikkim,1077,514,563,39,10,29,139,51,88,74,25,49,121,51,70,620,337,283,84,40,44
ASSAM,Arunachal Pradesh,19486,7467,12019,1561,690,871,4719,1737,2982,3960,1392,2568,4688,1719,2969,2987,1165,1822,1571,764,807
ASSAM,Nagaland,23707,10161,13546,1386,678,708,5131,2038,3093,4224,1676,2548,6147,2630,3517,4165,1914,2251,2654,1225,1429
ASSAM,Manipur,12203,5033,7170,713,335,378,2524,980,1544,2123,877,1246,2645,1083,1562,3197,1321,1876,1001,437,564
ASSAM,Mizoram,3157,1422,1735,283,145,138,890,432,458,485,171,314,465,160,305,715,336,379,319,178,141
ASSAM,Tripura,39906,15295,24611,770,303,467,4414,1536,2878,4252,1232,3020,8382,2837,5545,19749,8354,11395,2339,1033,1306
ASSAM,Meghalaya,40755,16077,24678,1730,746,984,6607,2455,4152,5811,1867,3944,8923,3103,5820,14473,6362,8111,3211,1544,1667
ASSAM,West Bengal,94724,33670,61054,3540,1697,1843,10825,3615,7210,10799,3219,7580,18397,5470,12927,44405,16907,27498,6758,2762,3996
ASSAM,Jharkhand,11139,5682,5457,232,122,110,927,437,490,696,308,388,1295,591,704,7245,3801,3444,744,423,321
ASSAM,Odisha,5153,2740,2413,231,133,98,930,460,470,474,255,219,746,383,363,2366,1260,1106,406,249,157
ASSAM,Chhattisgarh,1162,594,568,46,22,24,131,66,65,74,32,42,120,54,66,727,387,340,64,33,31
ASSAM,Madhya Pradesh,2478,1143,1335,162,72,90,496,207,289,227,93,134,291,102,189,984,471,513,318,198,120
ASSAM,Gujarat,1271,680,591,200,136,64,487,266,221,127,62,65,133,55,78,171,82,89,153,79,74
ASSAM,Daman & Diu,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
ASSAM,Dadra & Nagar Haveli,20,11,9,0,0,0,3,1,2,3,1,2,2,1,1,3,1,2,9,7,2
ASSAM,Maharashtra,2557,1235,1322,295,151,144,984,472,512,314,119,195,321,145,176,298,137,161,345,211,134
ASSAM,Andhra Pradesh,4732,2193,2539,264,136,128,792,384,408,397,168,229,758,267,491,2109,998,1111,412,240,172
ASSAM,Karnataka,991,488,503,167,86,81,330,147,183,131,52,79,112,44,68,69,45,24,182,114,68
ASSAM,Goa,52,24,28,7,2,5,11,4,7,8,3,5,9,5,4,7,3,4,10,7,3
ASSAM,Lakshadweep,423,236,187,18,4,14,20,7,13,10,4,6,17,6,11,15,9,6,343,206,137
ASSAM,Kerala,1437,750,687,131,64,67,436,190,246,187,80,107,198,98,100,272,181,91,213,137,76
ASSAM,Tamil Nadu,1193,667,526,153,93,60,415,203,212,128,69,59,132,60,72,166,94,72,199,148,51
ASSAM,Puducherry,27,13,14,3,3,0,8,4,4,1,0,1,6,2,4,7,4,3,2,0,2
ASSAM,Andaman & Nicobar Islands,93,40,53,6,5,1,19,9,10,10,3,7,20,5,15,30,13,17,8,5,3
WEST BENGAL,Jammu & Kashmir,5846,3177,2669,500,284,216,1182,561,621,579,296,283,797,356,441,935,468,467,1853,1212,641
WEST BENGAL,Himachal Pradesh,2911,1471,1440,194,98,96,546,244,302,258,131,127,398,171,227,597,261,336,918,566,352
WEST BENGAL,Punjab,18154,9240,8914,973,542,431,2870,1271,1599,1987,939,1048,3097,1455,1642,7660,4166,3494,1567,867,700
WEST BENGAL,Chandigarh,869,428,441,86,51,35,240,120,120,137,66,71,145,71,74,163,76,87,98,44,54
WEST BENGAL,Uttarakhand,3599,1690,1909,250,112,138,946,389,557,529,240,289,559,268,291,1000,517,483,315,164,151
WEST BENGAL,Haryana,11259,6008,5251,928,496,432,2044,1005,1039,1120,557,563,1798,885,913,4346,2509,1837,1023,556,467
WEST BENGAL,NCT of Delhi,15815,7727,8088,1890,1107,783,4396,2067,2329,2777,1289,1488,2829,1303,1526,2358,1150,1208,1565,811,754
WEST BENGAL,Rajasthan,57668,29885,27783,2315,1208,1107,7192,3433,3759,6329,3007,3322,10342,4944,5398,27112,14980,12132,4378,2313,2065
WEST BENGAL,Uttar Pradesh,238819,128190,110629,8628,4498,4130,29573,13692,15881,27457,13474,13983,50446,25086,25360,105801,62231,43570,16914,9209,7705
WEST BENGAL,Bihar,1103757,578466,525291,52845,29895,22950,129684,59568,70116,137724,65317,72407,256678,127278,129400,447626,253122,194504,79200,43286,35914
WEST BENGAL,Sikkim,11537,2995,8542,589,182,407,2745,804,1941,2008,566,1442,2411,553,1858,2832,545,2287,952,345,607
WEST BENGAL,Arunachal Pradesh,2322,1090,1232,142,75,67,586,253,333,567,247,320,626,307,319,277,139,138,124,69,55
WEST BENGAL,Nagaland,3170,1610,1560,411,324,87,662,315,347,620,272,348,712,322,390,573,280,293,192,97,95
WEST BENGAL,Manipur,2651,1230,1421,357,183,174,758,355,403,448,205,243,522,228,294,359,165,194,207,94,113
WEST BENGAL,Mizoram,544,236,308,60,28,32,234,109,125,94,38,56,56,30,26,64,22,42,36,9,27
WEST BENGAL,Tripura,20497,10511,9986,767,406,361,2553,1149,1404,2702,1317,1385,5252,2617,2635,8007,4394,3613,1216,628,588
WEST BENGAL,Meghalaya,7000,3071,3929,339,155,184,1115,466,649,1236,522,714,1718,746,972,2123,967,1156,469,215,254
WEST BENGAL,Assam,166400,68903,97497,4986,2166,2820,20370,7156,13214,20816,7615,13201,40695,16068,24627,69972,31535,38437,9561,4363,5198
WEST BENGAL,Jharkhand,459436,126188,333248,21229,9509,11720,60270,15657,44613,63691,15381,48310,107431,27138,80293,177366,47666,129700,29449,10837,18612
WEST BENGAL,Odisha,142179,60434,81745,5624,2797,2827,20863,8235,12628,19257,7436,11821,32728,13383,19345,55191,24526,30665,8516,4057,4459
WEST BENGAL,Chhattisgarh,8071,3507,4564,727,364,363,1574,698,876,982,401,581,1643,651,992,2559,1121,1438,586,272,314
WEST BENGAL,Madhya Pradesh,15815,6998,8817,1014,475,539,2925,1284,1641,2116,894,1222,3112,1211,1901,5483,2598,2885,1165,536,629
WEST BENGAL,Gujarat,14563,7052,7511,950,553,397,2698,1212,1486,1760,796,964,2381,1103,1278,5829,2911,2918,945,477,468
WEST BENGAL,Daman & Diu,22,12,10,1,1,0,9,4,5,4,1,3,1,0,1,3,2,1,4,4,0
WEST BENGAL,Dadra & Nagar Haveli,403,181,222,15,10,5,73,36,37,45,19,26,65,21,44,77,30,47,128,65,63
WEST BENGAL,Maharashtra,27648,13040,14608,3171,1932,1239,7024,3157,3867,4382,1962,2420,4734,2080,2654,6209,2819,3390,2128,1090,1038
WEST BENGAL,Andhra Pradesh,16707,7616,9091,1170,602,568,3413,1555,1858,2081,884,1197,2915,1205,1710,5779,2727,3052,1349,643,706
WEST BENGAL,Karnataka,5536,2674,2862,710,410,300,1818,867,951,775,350,425,837,377,460,970,438,532,426,232,194
WEST BENGAL,Goa,484,240,244,62,32,30,129,59,70,71,34,37,70,35,35,112,59,53,40,21,19
WEST BENGAL,Lakshadweep,311,181,130,8,4,4,24,15,9,12,6,6,27,13,14,66,30,36,174,113,61
WEST BENGAL,Kerala,7149,3609,3540,644,411,233,1605,775,830,736,341,395,1127,511,616,2496,1293,1203,541,278,263
WEST BENGAL,Tamil Nadu,7932,4062,3870,673,416,257,1932,1022,910,1082,504,578,1263,581,682,2430,1223,1207,552,316,236
