AreaName,Females_Total,LastResidence,Males_Total,Persons_Business,Persons_Education,Persons_Marriage,Persons_MoveAfterBirth,Persons_MoveWithHH,Persons_Other,Persons_Total,Persons_Work,Males_Business,Males_Education,Males_Marriage,Males_MoveAfterBirth,Males_MoveWithHH,Males_Other,Males_Work,Females_Business,Females_Education,Females_Marriage,Females_MoveAfterBirth,Females_MoveWithHH,Females_Other,Females_Work
CHANDIGARH,4493,Rajasthan,4953,198,520,1381,410,3492,895,9446,2550,187,367,15,245,1245,517,2377,11,153,1366,165,2247,378,173
CHANDIGARH,75441,Uttar Pradesh,104133,1228,1861,24408,8865,54470,21015,179574,67727,1094,1271,319,5117,18672,12887,64773,134,590,24089,3748,35798,8128,2954
CHANDIGARH,17135,Bihar,33568,241,553,4611,2449,13220,5471,50703,24158,206,463,53,1389,4181,3650,23626,35,90,4558,1060,9039,1821,532
CHANDIGARH,27,Sikkim,43,2,3,5,2,28,5,70,25,2,2,0,2,8,4,25,0,1,5,0,20,1,0
CHANDIGARH,43,Arunachal Pradesh,56,1,3,6,8,39,8,99,34,1,2,0,3,14,6,30,0,1,6,5,25,2,4
CHANDIGARH,39,Nagaland,45,1,12,5,1,37,7,84,21,1,6,1,1,14,6,16,0,6,4,0,23,1,5
CHANDIGARH,254,Manipur,369,21,283,20,12,155,52,623,80,20,182,1,9,65,35,57,1,101,19,3,90,17,23
CHANDIGARH,19,Mizoram,28,0,23,2,0,10,8,47,4,0,11,0,0,7,7,3,0,12,2,0,3,1,1
CHANDIGARH,36,Tripura,37,0,15,11,0,22,7,73,18,0,10,0,0,5,4,18,0,5,11,0,17,3,0
CHANDIGARH,95,Meghalaya,88,0,14,11,4,106,15,183,33,0,6,0,3,37,11,31,0,8,11,1,69,4,2
CHANDIGARH,1195,Assam,971,24,57,164,27,1268,173,2166,453,19,35,3,9,412,103,390,5,22,161,18,856,70,63
CHANDIGARH,3217,West Bengal,3734,94,150,989,242,2189,682,6951,2605,82,109,7,129,705,364,2338,12,41,982,113,1484,318,267
CHANDIGARH,1339,Jharkhand,1684,23,88,315,146,902,291,3023,1258,21,60,2,85,282,169,1065,2,28,313,61,620,122,193
CHANDIGARH,717,Odisha,883,14,45,202,47,465,154,1600,673,10,31,2,29,123,86,602,4,14,200,18,342,68,71
CHANDIGARH,542,Chhattisgarh,581,6,19,89,51,373,104,1123,481,5,13,0,23,119,50,371,1,6,89,28,254,54,110
CHANDIGARH,1834,Madhya Pradesh,1896,39,145,486,144,1464,391,3730,1061,35,96,7,82,562,223,891,4,49,479,62,902,168,170
CHANDIGARH,1080,Gujarat,1002,31,47,237,75,970,230,2082,492,24,32,2,46,340,120,438,7,15,235,29,630,110,54
CHANDIGARH,3,Daman & Diu,7,0,0,0,2,3,1,10,4,0,0,0,2,1,1,3,0,0,0,0,2,0,1
CHANDIGARH,5,Dadra & Nagar Haveli,2,0,0,1,0,5,0,7,1,0,0,0,0,1,0,1,0,0,1,0,4,0,0
CHANDIGARH,2624,Maharashtra,2375,89,150,600,197,2292,525,4999,1146,71,93,8,108,774,318,1003,18,57,592,89,1518,207,143
CHANDIGARH,763,Andhra Pradesh,765,19,61,99,49,791,179,1528,330,18,45,1,26,276,100,299,1,16,98,23,515,79,31
CHANDIGARH,757,Karnataka,757,9,92,62,51,850,134,1514,316,7,74,0,32,289,76,279,2,18,62,19,561,58,37
CHANDIGARH,46,Goa,48,1,1,5,2,55,7,94,23,1,1,0,1,19,6,20,0,0,5,1,36,1,3
CHANDIGARH,9,Lakshadweep,10,0,0,1,3,4,9,19,2,0,0,0,1,1,7,1,0,0,1,2,3,2,1
CHANDIGARH,522,Kerala,494,7,44,129,84,330,124,1016,298,6,29,3,48,96,64,248,1,15,126,36,234,60,50
CHANDIGARH,1662,Tamil Nadu,1561,17,108,540,159,1033,310,3223,1056,10,84,12,91,319,169,876,7,24,528,68,714,141,180
CHANDIGARH,12,Puducherry,20,0,13,1,2,8,1,32,7,0,9,0,1,5,1,4,0,4,1,1,3,0,3
CHANDIGARH,69,Andaman & Nicobar Islands,56,0,5,7,5,76,15,125,17,0,5,0,3,19,14,15,0,0,7,2,57,1,2
CHANDIGARH,892,Other Countries,1112,56,108,138,168,655,560,2004,319,51,70,7,92,277,336,279,5,38,131,76,378,224,40
UTTARAKHAND,3837,Jammu & Kashmir,5431,48,686,799,171,2826,3259,9268,1479,35,484,21,107,1260,2167,1357,13,202,778,64,1566,1092,122
UTTARAKHAND,15201,Himachal Pradesh,8888,103,680,9328,286,6695,3509,24089,3488,80,409,132,175,2984,2035,3073,23,271,9196,111,3711,1474,415
UTTARAKHAND,25027,Punjab,20640,442,1068,12635,802,15849,6833,45667,8038,352,676,209,515,7451,4182,7255,90,392,12426,287,8398,2651,783
UTTARAKHAND,1547,Chandigarh,1303,17,140,585,87,1141,449,2850,431,12,101,10,52,480,271,377,5,39,575,35,661,178,54
UTTARAKHAND,20131,Haryana,13768,397,1105,11327,524,10571,4308,33899,5667,322,809,145,325,4481,2507,5179,75,296,11182,199,6090,1801,488
UTTARAKHAND,28752,NCT of Delhi,23250,507,2121,11430,1276,20568,8106,52002,7994,399,1400,138,711,8666,4807,7129,108,721,11292,565,11902,3299,865
UTTARAKHAND,8996,Rajasthan,9414,255,1223,3262,297,7023,2621,18410,3729,215,974,44,167,2906,1689,3419,40,249,3218,130,4117,932,310
