AreaName,LastResidence,Persons_0to4,Males_0to4,Females_0to4,Persons_5to9,Males_5to9,Females_5to9,Persons_10to14,Males_10to14,Females_10to14,Persons_15to19,Males_15to19,Females_15to19,Persons_20to24,Males_20to24,Females_20to24,Persons_25to29,Males_25to29,Females_25to29,Persons_30to34,Males_30to34,Females_30to34,Persons_35to39,Males_35to39,Females_35to39,Persons_40to44,Males_40to44,Females_40to44,Persons_45to49,Males_45to49,Females_45to49,Persons_50to54,Males_50to54,Females_50to54,Persons_55to59,Males_55to59,Females_55to59,Persons_60to64,Males_60to64,Females_60to64,Persons_65to69,Males_65to69,Females_65to69,Persons_70to74,Males_70to74,Females_70to74,Persons_75to79,Males_75to79,Females_75to79,Persons_80plus,Males_80plus,Females_80plus,Persons_AgeNS,Males_AgeNS,Females_AgeNS
Assam,Nagaland,517,269,248,986,484,502,971,485,486,1022,430,592,1866,462,1404,1639,446,1193,1058,383,675,714,334,380,457,267,190,398,228,170,245,134,111,174,99,75,158,116,42,97,64,33,55,34,21,30,19,11,32,17,15,8,6,2
Assam,Manipur,158,81,77,300,158,142,400,204,196,422,186,236,746,196,550,943,232,711,627,227,400,500,240,260,358,209,149,243,135,108,169,105,64,93,54,39,80,47,33,37,20,17,26,14,12,12,6,6,23,7,16,1,0,1
Assam,Mizoram,82,44,38,108,58,50,133,60,73,154,69,85,216,55,161,225,49,176,185,73,112,123,56,67,82,39,43,65,38,27,42,25,17,16,11,5,13,11,2,9,5,4,5,3,2,4,2,2,6,2,4,1,1,0
Assam,Tripura,140,72,68,233,117,116,230,130,100,489,117,372,1673,262,1411,2213,460,1753,1383,416,967,945,432,513,564,331,233,390,196,194,251,139,112,204,103,101,145,79,66,95,48,47,73,30,43,39,20,19,40,18,22,3,1,2
Assam,Meghalaya,300,155,145,594,308,286,554,270,284,1213,285,928,2770,479,2291,2821,735,2086,1761,763,998,1158,598,560,670,367,303,488,286,202,375,182,193,277,134,143,243,143,100,143,93,50,71,38,33,43,17,26,39,17,22,8,2,6
Assam,Assam,87871,44534,43337,144571,74019,70552,120931,61147,59784,240943,53195,187748,609333,57456,551877,591085,77733,513352,284243,72722,211521,178061,68530,109531,103307,51220,52087,73338,38860,34478,48622,26856,21766,30934,16783,14151,25244,13129,12115,14751,7397,7354,11076,5186,5890,4986,2282,2704,7646,2942,4704,989,344,645
Assam,West Bengal,852,461,391,1217,640,577,843,428,415,1858,425,1433,4936,685,4251,4994,1038,3956,2952,1092,1860,2209,1135,1074,1360,762,598,1052,582,470,653,394,259,449,254,195,293,145,148,199,103,96,112,49,63,88,30,58,96,44,52,9,7,2
Assam,Jharkhand,76,36,40,106,59,47,87,54,33,102,45,57,218,54,164,345,101,244,248,119,129,193,122,71,133,76,57,85,49,36,59,41,18,39,26,13,29,15,14,26,15,11,11,6,5,2,0,2,9,4,5,2,2,0
Assam,Odisha,86,41,45,105,53,52,71,33,38,87,34,53,172,72,100,258,109,149,238,116,122,208,129,79,124,84,40,85,65,20,59,45,14,24,16,8,21,12,9,13,6,7,9,3,6,6,2,4,7,2,5,0,0,0
Assam,Chhattisgarh,22,14,8,17,12,5,14,6,8,9,4,5,25,4,21,44,17,27,43,16,27,18,12,6,22,12,10,14,10,4,5,4,1,2,2,0,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0
Assam,Madhya Pradesh,42,22,20,62,33,29,44,26,18,49,11,38,131,34,97,156,45,111,133,61,72,83,47,36,43,30,13,36,20,16,26,13,13,9,4,5,14,7,7,5,1,4,1,1,0,0,0,0,5,1,4,3,1,2
Assam,Gujarat,43,20,23,74,42,32,71,40,31,54,30,24,69,35,34,64,28,36,78,27,51,78,36,42,86,56,30,59,40,19,68,59,9,33,27,6,12,7,5,6,6,0,3,2,1,1,0,1,3,2,1,3,3,0
Assam,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dadra & Nagar Haveli,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Maharashtra,134,67,67,130,67,63,74,32,42,100,40,60,196,51,145,281,114,167,216,107,109,133,64,69,82,42,40,72,47,25,59,44,15,32,25,7,18,12,6,11,5,6,8,4,4,5,4,1,7,2,5,0,0,0
Assam,Andhra Pradesh,67,32,35,113,54,59,59,36,23,86,31,55,227,67,160,240,90,150,184,95,89,137,83,54,90,56,34,81,51,30,54,38,16,27,16,11,14,10,4,11,7,4,8,1,7,1,0,1,3,1,2,0,0,0
Assam,Karnataka,62,35,27,48,25,23,26,15,11,35,10,25,82,29,53,112,49,63,84,30,54,50,19,31,24,12,12,30,19,11,24,20,4,8,5,3,8,4,4,7,1,6,4,2,2,1,0,1,2,1,1,0,0,0
Assam,Goa,1,0,1,1,1,0,0,0,0,3,0,3,2,1,1,5,1,4,3,1,2,2,1,1,1,0,1,0,0,0,3,1,2,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Assam,Lakshadweep,10,2,8,5,4,1,5,2,3,3,1,2,5,0,5,5,1,4,1,0,1,4,0,4,4,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Assam,Kerala,26,17,9,31,18,13,29,12,17,20,11,9,58,28,30,83,28,55,92,39,53,84,38,46,92,45,47,63,31,32,46,17,29,45,18,27,29,12,17,8,4,4,7,2,5,3,2,1,1,0,1,0,0,0
Assam,Tamil Nadu,50,25,25,53,24,29,42,24,18,38,17,21,83,36,47,85,31,54,77,37,40,81,47,34,57,33,24,51,34,17,29,26,3,20,16,4,8,4,4,1,1,0,3,1,2,1,0,1,4,2,2,0,0,0
Assam,Puducherry,1,0,1,1,1,0,1,1,0,3,2,1,2,1,1,2,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Andaman & Nicobar Islands,1,0,1,1,0,1,3,2,1,1,0,1,5,0,5,7,4,3,4,3,1,7,5,2,1,1,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Jammu & Kashmir,202,102,100,276,150,126,214,123,91,181,87,94,212,82,130,228,79,149,238,93,145,187,91,96,124,74,50,102,74,28,47,38,9,29,20,9,15,8,7,12,9,3,5,5,0,5,1,4,16,8,8,3,2,1
West Bengal,Himachal Pradesh,88,50,38,110,59,51,70,42,28,60,26,34,94,37,57,106,33,73,99,31,68,88,36,52,63,36,27,33,13,20,32,21,11,17,12,5,14,9,5,5,1,4,6,3,3,3,2,1,8,2,6,1,0,1
West Bengal,Punjab,444,233,211,668,366,302,515,266,249,372,203,169,540,208,332,689,201,488,542,188,354,456,231,225,343,173,170,269,146,123,181,103,78,143,92,51,121,66,55,76,46,30,61,44,17,32,15,17,46,19,27,12,8,4
West Bengal,Chandigarh,36,24,12,54,37,17,56,35,21,19,11,8,39,15,24,58,20,38,50,20,30,52,24,28,26,13,13,17,12,5,12,4,8,8,3,5,8,6,2,4,2,2,1,1,0,1,0,1,2,0,2,0,0,0
West Bengal,Uttarakhand,119,68,51,187,89,98,148,80,68,133,70,63,146,38,108,231,58,173,178,55,123,165,59,106,123,57,66,82,52,30,42,26,16,40,23,17,31,20,11,18,12,6,10,7,3,2,1,1,11,2,9,3,1,2
West Bengal,Haryana,339,189,150,488,264,224,300,177,123,271,147,124,368,165,203,495,172,323,405,172,233,318,148,170,256,147,109,183,110,73,121,75,46,109,66,43,77,46,31,53,31,22,37,20,17,31,16,15,32,9,23,5,4,1
West Bengal,NCT of Delhi,868,468,400,1090,576,514,760,383,377,645,307,338,949,333,616,1161,435,726,914,411,503,705,387,318,477,301,176,349,231,118,250,141,109,195,106,89,182,105,77,111,71,40,58,33,25,39,21,18,38,19,19,1,1,0
West Bengal,Rajasthan,1021,554,467,1496,810,686,953,519,434,833,476,357,1482,633,849,2120,699,1421,1621,659,962,1190,633,557,858,510,348,776,399,377,670,344,326,569,314,255,552,285,267,332,185,147,223,119,104,140,61,79,155,64,91,13,8,5
West Bengal,Uttar Pradesh,4114,2207,1907,6435,3471,2964,4253,2417,1836,4358,2320,2038,8421,2894,5527,9877,3346,6531,6565,2989,3576,4824,2637,2187,3357,1978,1379,2599,1536,1063,2035,1172,863,1500,913,587,1253,730,523,775,468,307,499,271,228,271,140,131,389,183,206,62,38,24
West Bengal,Bihar,18618,9803,8815,29313,16032,13281,21105,12397,8708,25263,12171,13092,51242,15902,35340,51150,18038,33112,30016,15597,14419,21609,12960,8649,14966,9768,5198,11408,7237,4171,8051,5075,2976,5415,3240,2175,4496,2654,1842,2581,1536,1045,1557,910,647,752,415,337,1371,672,699,271,167,104
West Bengal,Sikkim,130,51,79,360,188,172,404,231,173,565,165,400,1268,162,1106,1063,135,928,495,125,370,246,89,157,134,67,67,95,39,56,90,45,45,56,29,27,54,31,23,33,23,10,19,7,12,7,3,4,13,4,9,3,0,3
