AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
DAMAN & DIU,Andaman & Nicobar Islands,36,20,16,14,14,0,0,0,0,0,0,0,3,0,3,2,1,1,17,5,12,0,0,0
DAMAN & DIU,Other Countries,247,120,127,36,30,6,3,2,1,0,0,0,16,0,16,9,7,2,62,22,40,121,59,62
DADRA & NAGAR HAVELI,Jammu & Kashmir,45,30,15,22,19,3,1,1,0,1,1,0,2,0,2,2,2,0,12,3,9,5,4,1
DADRA & NAGAR HAVELI,Himachal Pradesh,104,74,30,58,56,2,0,0,0,0,0,0,7,0,7,2,2,0,33,13,20,4,3,1
DADRA & NAGAR HAVELI,Punjab,291,200,91,145,142,3,6,6,0,0,0,0,18,1,17,4,3,1,96,34,62,22,14,8
DADRA & NAGAR HAVELI,Chandigarh,29,20,9,12,12,0,3,3,0,0,0,0,1,0,1,1,0,1,10,4,6,2,1,1
DADRA & NAGAR HAVELI,Uttarakhand,707,487,220,372,365,7,4,4,0,2,1,1,42,0,42,23,11,12,216,74,142,48,32,16
DADRA & NAGAR HAVELI,Haryana,304,177,127,109,104,5,7,6,1,0,0,0,17,1,16,7,4,3,147,53,94,17,9,8
DADRA & NAGAR HAVELI,NCT of Delhi,612,378,234,247,236,11,17,16,1,7,3,4,38,0,38,10,4,6,260,97,163,33,22,11
DADRA & NAGAR HAVELI,Rajasthan,6830,4313,2517,2409,2314,95,520,506,14,45,31,14,535,11,524,171,94,77,2598,977,1621,552,380,172
DADRA & NAGAR HAVELI,Uttar Pradesh,28719,20861,7858,15825,15383,442,851,807,44,137,103,34,1634,33,1601,462,219,243,7700,2727,4973,2110,1589,521
DADRA & NAGAR HAVELI,Bihar,20848,15098,5750,11583,11264,319,396,379,17,65,46,19,1000,24,976,320,170,150,6063,2173,3890,1421,1042,379
DADRA & NAGAR HAVELI,Arunachal Pradesh,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,Nagaland,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
DADRA & NAGAR HAVELI,Manipur,30,27,3,23,23,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,3,2,2,0
DADRA & NAGAR HAVELI,Mizoram,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,Tripura,4,3,1,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
